X,Y,FACILITY_ID,FACILITY_NAME,FACILITY_TYPE,FACILITY_STATUS,STATUS_DATE,OBJECT_OF_INTEREST,CLASS,CLASS_STATUS,OWNERSHIP,ADDRESS,CITY,ZIP5,ZIP4,DISTRICT,OFFICE,COUNTY_ID,COUNTY,PROXIMITY_ID,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,DATUM_ID,COORDINATE_METHOD_ID,ACCURACY_LEVEL,ACCURACY,QA_STATUS,COLLECTOR_USER_NAME,COLLECT_DATE,VERIFIER_USER_NAME,VERIFICATION_DATE,VERIFY_METHOD_ID,OBJECTID,DOCUMENTS,REPORTS
75575.7287998065,736183.95130033,2217,INTERNATIONAL PAPER COMPANY - ROCK CROSSING LANDFILL,Solid Waste,Active,2013/01/28 00:00:00+00,Facility,,,Private,US 29 AT SR 184,Cantonment,,,NWD,,17,Escambia,Approximate feature location,30,35,35.8583984,87,23,10.5599003,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Reviewed,FETROW_C,2010/10/06 00:00:00+00,FETROW_C,2010/10/06 00:00:00+00,DPHO,1,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/2217/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/2217
83095.6204998061,726242.493000323,2997,LANGFORD C & D DISPOSAL,Solid Waste,"Closed, No Gw Monitoring",2004/02/16 00:00:00+00,Facility,,,Private,OFF OF PINE FOREST RD. (7500 PINE FOREST RD),Pensacola,32526,,NWD,Northwest District,17,Escambia,,30,30,20.0799999,87,18,18.1200008,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,2,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/2997/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/2997
84096.1998998098,727088.697600326,3005,"LANGFORD & MILLS HOME BUILDERS,INC.",Solid Waste,"Closed, No Gw Monitoring",2004/02/16 00:00:00+00,Facility,,,Private,CORNER LEPLEY & ASHLAND STRTS.,Pensacola,32534,,NWD,Northwest District,17,Escambia,,30,30,48.3899994,87,17,41.4199982,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,3,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3005/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3005
86929.6089998097,730023.224600323,3006,"FLOYD CONTRACTORS, INC.",Solid Waste,"Closed, No Gw Monitoring",2004/02/16 00:00:00+00,Facility,,,Private,HOLSBERRY LN,Pensacola,32534,,NWD,Northwest District,17,Escambia,,30,32,26,87,15,58,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,4,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3006/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3006
84311.1115998084,741901.386700327,3012,CHARLES T. SAPP C & D DEBRIS DISP.,Solid Waste,"Closed, No Gw Monitoring",2004/02/16 00:00:00+00,Facility,,,Private,2375 HANDY RD.,Cottage Hill,32533,,NWD,Northwest District,17,Escambia,,30,38,48.9599991,87,17,48.2200012,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,5,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3012/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3012
90613.1555998073,720481.316400327,3016,CHADBOURNE (MCCOY PIT) C&D DEBRIS,Solid Waste,"Closed, No Gw Monitoring",2009/09/14 00:00:00+00,Facility,,,Private,SOUTH END OF MCCOY DRIVE,Pensacola,32503,,NWD,Northwest District,17,Escambia,,30,27,19.7099991,87,13,30.3500004,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,6,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3016/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3016
89071.6243998088,723358.146900324,3017,APAC FLORIDA INC KILBEE PIT LCD,Solid Waste,"Closed, No Gw Monitoring",2009/09/22 00:00:00+00,Facility,,,Private,N. END OF ST.ELMO OFF AIRPORT,Pensacola,32503,,NWD,Northwest District,17,Escambia,,30,28,51.6899986,87,14,31.0100002,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,7,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3017/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3017
84771.3113998072,717015.496700326,3025,52ND ST LCD (FORMERLY WILLOW VALLEY LCD),Solid Waste,"Closed, No Gw Monitoring",2009/09/22 00:00:00+00,Facility,,,Private,"52ND AVE, 3 BLKS. S OF LILLIAN",Pensacola,32506,,NWD,Northwest District,17,Escambia,,30,25,22.3199997,87,17,6.01000023,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,8,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3025/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3025
79954.647899809,721328.970400328,3026,HEATON BROTHERS CONSTRUCTION COMPANY C&D DEBRIS,Solid Waste,"Closed, No Gw Monitoring",2000/09/13 00:00:00+00,Facility,,,Private,5805 SAUFLEY FIELD ROAD,Pensacola,32526,,NWD,Northwest District,17,Escambia,,30,27,38,87,20,11,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,9,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3026/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3026
80412.5278998068,722488.425800327,3027,SAUFLEY PIT (CLARK SAND CO),Solid Waste,"Closed, No Gw Monitoring",2009/09/22 00:00:00+00,Facility,,,Private,E. FENCE RD.-NEXT TO SAUF.FLD.,Pensacola,32526,,NWD,Northwest District,17,Escambia,,30,28,16,87,19,55,NAD83,Digital Aerial Photography,3,1.1 - 10 meters,Not Reviewed,INITLOAD,2007/06/07 17:16:00+00,,,,10,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/3027/gis-facility!search,https://prodapps.dep.state.fl.us/www-wacs/Solidwastedatasystem/facilityinventoryreportbyid/3027
