StationID,StationName,Lat,Lon,NAVD88,MHHW,MHW,MTL,MSL,DTL,MLW,MLLW,Epoch,DatumPeriod,CtrlStation,Units
8720001,ST. MARYS RIVER HEADWATERS,30.7867,-81.84,1.356,0.651,0.605,0.175,0.267,0.165,-0.256,-0.322,1983-2001,12/01/1977 - 04/30/1978,"8720030 Fernandina Beach, FL",meters
8720004,"CRANDALL, ST. MARYS RIVER",30.7217,-81.6217,1.43,0.751,0.671,-0.066,-0.004,-0.055,-0.804,-0.862,1983-2001,02/01/1978 - 05/31/1978,"8720030 Fernandina Beach, FL",meters
8720006,LITTLE ST. MARYS RIVER,30.7317,-81.7267,1.756,0.641,0.583,-0.068,0.028,-0.062,-0.719,-0.765,1983-2001,02/01/1985 - 02/28/1985,"8720030 Fernandina Beach, FL",meters
8720007,ROSES BLUFF,30.7033,-81.5767,1.856,0.862,0.757,-0.186,-0.13,-0.162,-1.129,-1.185,1983-2001,02/01/1985 - 02/28/1985,"8720030 Fernandina Beach, FL",meters
8720023,"CHESTER, BELLS RIVER",30.6833,-81.5333,1.804,0.896,0.79,-0.165,-0.113,-0.144,-1.12,-1.184,1983-2001,02/01/1978 - 04/30/1978,"8720030 Fernandina Beach, FL",meters
8720030,Fernandina Beach,30.671356,-81.46584,1.683,0.834,0.727,-0.19,-0.161,-0.166,-1.108,-1.165,1983-2001,01/01/1983 - 12/31/1994 ; 01/01/1997 - 12/31/2001,,meters
8720051,"LANCEFORD CREEK, LOFTON",30.6433,-81.5233,1.263,0.89,0.776,-0.188,-0.153,-0.161,-1.152,-1.212,1983-2001,09/01/1978 - 12/31/1978,"8720030 Fernandina Beach, FL",meters
8720058,"KINGSLEY CREEK, SEABOARD R.R.",30.6317,-81.4767,1.622,0.843,0.736,-0.174,-0.147,-0.149,-1.085,-1.142,1983-2001,05/01/1978 - 06/30/1978,"8720030 Fernandina Beach, FL",meters
8720084,"BOGGY CREEK, UPPER NASSAU RIVER",30.5883,-81.6633,1.676,0.508,0.468,0.026,0.106,0.02,-0.416,-0.468,1983-2001,03/01/1978 - 07/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720086,"AMELIA CITY, SOUTH AMELIA RIVER",30.5867,-81.4633,1.476,0.795,0.69,-0.131,-0.122,-0.104,-0.952,-1.003,1983-2001,01/01/1978 - 12/31/1978,"8720030 Fernandina Beach, FL",meters
8720093,HALFMOON ISLAND,30.5767,-81.6083,2.085,0.591,0.535,-0.099,-0.016,-0.102,-0.734,-0.795,1983-2001,07/01/1978 - 08/31/1978,"8720098 NASSAUVILLE, NASSAU RIVER EAST, FL",meters
8720097,"CUNO, LOFTON CREEK",30.5767,-81.5717,1.963,0.507,0.455,-0.082,-0.002,-0.087,-0.619,-0.68,1983-2001,03/01/1978 - 04/30/1978 ; 07/01/1978 - 07/31/1978,"8720030 Fernandina Beach, FL",meters
8720098,"NASSAUVILLE, NASSAU RIVER EAST",30.5683,-81.515,1.792,0.712,0.621,-0.103,-0.073,-0.086,-0.827,-0.884,1983-2001,01/01/1978 - 12/31/1978,"8720030 Fernandina Beach, FL",meters
8720119,"MINK CREEK ENT., NASSAU RIVER",30.5367,-81.5817,1.408,0.6,0.526,-0.122,-0.053,-0.116,-0.771,-0.833,1983-2001,10/01/1978 - 10/31/1978 ; 02/01/1979 - 02/28/1979,"8720098 NASSAUVILLE, NASSAU RIVER EAST, FL",meters
8720145,Edwards Creek,30.5017,-81.5417,1.045,0.634,0.567,-0.133,-0.061,-0.131,-0.833,-0.896,1983-2001,02/01/2008 - 01/31/2011,"8720030 Fernandina Beach, FL",meters
8720168,SIMPSON CREEK,30.465,-81.4317,1.74,0.723,0.618,-0.156,-0.139,-0.122,-0.93,-0.968,1983-2001,04/01/1978 - 08/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720186,FORT GEORGE ISLAND,30.44,-81.4383,1.894,0.685,0.594,-0.134,-0.107,-0.111,-0.863,-0.906,1983-2001,04/01/1978 - 09/30/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720189,CEDAR HEIGHTS,30.4367,-81.6417,1.53,0.398,0.353,-0.102,-0.089,-0.092,-0.557,-0.582,1983-2001,10/01/1977 - 01/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720203,BLOUNT ISLAND BRIDGE,30.4133,-81.545,1.304,0.448,0.389,-0.14,-0.104,-0.124,-0.669,-0.697,1983-2001,09/01/1977 - 11/30/1977,"8720220 Mayport (Ferry Depot), FL",meters
8720211,"Mayport Naval Sta., St Johns River",30.4,-81.4133,0.014,0.612,0.522,-0.188,-0.173,-0.167,-0.9,-0.947,1983-2001,11/01/2003 - 10/31/2004,"8720218 Mayport (Bar Pilots Dock), FL",meters
8720213,"TROUT R., SHERWOOD FOREST",30.42,-81.7283,1.725,0.38,0.337,-0.061,-0.068,-0.054,-0.46,-0.488,1983-2001,09/01/1978 - 12/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720214,Degaussing Structure,30.3967,-81.395,0.02,0.644,0.544,-0.187,-0.187,-0.162,-0.92,-0.969,1983-2001,05/01/1998 - 10/31/1998,"8720220 Mayport (Ferry Depot), FL",meters
8720215,Navy Fuel Depot,30.4,-81.6267,2.083,0.336,0.296,-0.099,-0.098,-0.091,-0.495,-0.518,1983-2001,09/01/1977 - 12/31/1977,"8720220 Mayport (Ferry Depot), FL",meters
8720216,"RIBAULT RIVER, LAKE FOREST",30.3983,-81.6983,2.006,0.386,0.355,-0.042,-0.051,-0.039,-0.439,-0.464,1983-2001,06/01/1978 - 07/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720217,MONCRIEF CREEK ENTRANCE,30.3917,-81.6617,2.015,0.317,0.278,-0.104,-0.109,-0.097,-0.487,-0.512,1983-2001,10/01/1977 - 11/30/1977,"8720220 Mayport (Ferry Depot), FL",meters
8720218,Mayport (Bar Pilots Dock),30.398167,-81.42789,3.678,0.6,0.518,-0.173,-0.159,-0.155,-0.864,-0.911,1983-2001,01/01/2001 - 12/31/2010 ; 01/01/2012 - 12/31/2014 ; 01/01/2016 - 12/31/2018,"8720030 Fernandina Beach, FL",meters
8720219,Dames Point,30.3867,-81.5583,1.848,0.431,0.382,-0.134,-0.116,-0.126,-0.65,-0.683,1983-2001,01/01/2014 - 12/31/2014 ; 01/01/2016 - 12/31/2017,"8720218 Mayport (Bar Pilots Dock), FL",meters
8720220,Mayport (Ferry Depot),30.3933,-81.4317,1.466,0.566,0.485,-0.194,-0.181,-0.175,-0.873,-0.917,1983-2001,01/01/1983 - 11/30/2000,,meters
8720221,"FULTON, ST. JOHNS RIVER",30.39,-81.5067,2.091,0.474,0.412,-0.139,-0.131,-0.123,-0.689,-0.719,1983-2001,10/01/1977 - 02/28/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720225,PHOENIX PARK,30.3833,-81.6367,1.914,0.332,0.292,-0.09,-0.093,-0.082,-0.472,-0.496,1983-2001,09/01/1977 - 01/31/1978,"8720220 Mayport (Ferry Depot), FL",meters
8720226,"Southbank Riverwalk, St Johns River",30.32,-81.6583,-0.002,0.198,0.178,-0.094,-0.073,-0.099,-0.368,-0.397,1983-2001,04/01/2002 - 03/31/2005 ; 02/01/2015 - 01/31/2017,"8720218 Mayport (Bar Pilots Dock), FL",meters
